date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:49	1354/1354	---MCZ	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202017%2000:55:52%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/templatefiles/teob.png	C:/Users/Dgn/Desktop/ocy/hk8db36e.pic30.websiteonline.cn/upload/templatefiles/teob.png	(from http://fsocy.com/)
15:26:50	1462/1462	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2015%20Aug%202014%2006:46:09%20GMT	../static.websiteonline.cn/website/plugin/new_navigation/styles/hs10/m_19_VyyP.jpg	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/new_navigation/styles/hs10/m_19_VyyP.jpg	(from http://fsocy.com/)
15:26:50	71049/71049	---MCZ	200	added ('OK')	text/html	etag:W/%221f3a61d78b108d233531a3971bf6f87a%22	http://fsocy.com/page85.html	C:/Users/Dgn/Desktop/ocy/fsocy.com/page85.html	(from http://fsocy.com/)
15:26:52	118122/118122	---MCZ	200	added ('OK')	text/html	etag:W/%224cef3dacebf516ab3995fab27d208f6a%22	http://fsocy.com/page88.html	C:/Users/Dgn/Desktop/ocy/fsocy.com/page88.html	(from http://fsocy.com/)
15:26:52	117213/117213	---MCZ	200	added ('OK')	text/html	etag:W/%224aebed339b4a31e31a103cbd7867d926%22	http://fsocy.com/page88.html?product_category=2&menu_id=244	C:/Users/Dgn/Desktop/ocy/fsocy.com/page889512.html	(from http://fsocy.com/)
15:26:53	106889/106889	---MCZ	200	added ('OK')	text/html	etag:W/%229c5b48c5c85a2bc77ae346d760750049%22	http://fsocy.com/page88.html?product_category=5&menu_id=247	C:/Users/Dgn/Desktop/ocy/fsocy.com/page8813d6.html	(from http://fsocy.com/)
15:26:54	106739/106739	---MCZ	200	added ('OK')	text/html	etag:W/%222b38641544ea13b7194c862a8baa584d%22	http://fsocy.com/page88.html?product_category=3&menu_id=245	C:/Users/Dgn/Desktop/ocy/fsocy.com/page889b82.html	(from http://fsocy.com/)
15:26:55	111850/111850	---MCZ	200	added ('OK')	text/html	etag:W/%22259e24762b11444cd1623e6205e1510e%22	http://fsocy.com/page88.html?product_category=4&menu_id=246	C:/Users/Dgn/Desktop/ocy/fsocy.com/page88380d.html	(from http://fsocy.com/)
15:26:55	108353/108353	---MCZ	200	added ('OK')	text/html	etag:W/%2236cdd93b2ff07592216dfcc68ddf5b24%22	http://fsocy.com/page88.html?product_category=7&menu_id=249	C:/Users/Dgn/Desktop/ocy/fsocy.com/page8844b1.html	(from http://fsocy.com/)
15:26:56	108336/108336	---MCZ	200	added ('OK')	text/html	etag:W/%22cb6261081b92b161ee6e5033d7faf57c%22	http://fsocy.com/page88.html?product_category=7&menu_id=250	C:/Users/Dgn/Desktop/ocy/fsocy.com/page888f6d.html	(from http://fsocy.com/)
